Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
1,1,6,0.0,3.0,2.0,2,1,2.0,3,8,4,0,5,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,55.42481203007519,0,0,1,1,0,0.6352173913043477,0,1
1,0,3,1.0,7.0,-1.0,1,0,0.0,0,10,3,1,1,5,0,0,0,1,1,1,2,0,0,1,0,1,0,0,0,0,0,10,0,1,55.42481203007519,0,0,0,0,2,1.0,0,0
1,1,3,0.0,7.0,2.0,2,1,3.0,1,9,3,2,2,4,0,1,3,2,1,1,1,0,0,1,1,1,0,0,0,0,0,6,0,1,98.75,0,0,0,0,0,0.0,1,1
1,0,3,0.0,4.0,2.0,2,3,-1.0,3,4,6,0,0,3,0,1,2,4,0,0,2,0,0,1,1,0,0,0,1,0,0,2,0,0,74.5,0,0,0,0,1,0.6128355704697986,0,1
1,0,4,0.0,6.0,0.0,2,3,2.0,0,10,5,2,3,3,1,0,3,4,1,1,2,0,1,1,1,0,0,0,0,0,0,10,0,0,114.5,0,0,0,0,1,2.0,0,0
1,1,5,0.0,1.0,2.0,1,3,2.0,2,10,6,0,5,0,1,1,3,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,55.42481203007519,0,0,0,0,1,0.7438900203665988,0,0
1,0,6,0.0,7.0,0.0,0,3,2.0,3,10,4,0,5,0,0,0,3,3,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,2,43.66666666666666,0,0,0,0,1,0.4646946564885496,0,1
1,1,6,0.0,3.0,2.0,2,0,2.0,0,10,6,0,5,1,0,1,2,4,0,3,0,1,1,1,1,0,0,0,0,0,4,0,0,1,228.0,0,0,0,0,1,0.3203947368421052,0,0
1,0,4,0.0,3.0,2.0,1,3,3.0,2,6,6,3,1,0,1,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,55.42481203007519,0,0,0,0,2,2.0,0,1
1,0,3,0.0,5.0,2.0,2,3,0.0,0,10,6,0,1,5,0,0,2,4,0,0,2,0,1,1,1,0,0,0,0,0,0,6,0,0,22.85,1,0,0,0,2,3.196936542669584,0,1
0,1,6,-1.0,4.0,-1.0,1,0,3.0,0,2,6,3,5,0,1,0,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,6,0,0,15.5,0,0,1,0,0,0.0,0,1
0,1,5,-1.0,5.0,2.0,2,0,1.0,0,10,6,3,5,1,1,0,3,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,55.42481203007519,0,0,0,0,1,1.0,0,1
1,0,4,0.0,5.0,2.0,2,3,0.0,2,10,6,3,1,5,1,0,3,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,196.0,0,0,0,0,1,0.9317602040816326,0,0
1,1,6,0.0,2.0,-1.0,2,1,2.0,0,9,5,0,5,0,0,0,3,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,55.42481203007519,0,0,0,0,2,2.0,0,0
1,1,6,0.0,2.0,1.0,2,0,0.0,0,9,6,0,0,2,0,0,3,4,0,0,2,0,0,1,0,1,0,0,0,0,4,6,0,0,31.0,0,0,0,0,1,1.0,0,1
1,1,6,0.0,3.0,2.0,2,0,1.0,0,10,6,3,5,1,0,0,3,4,1,3,1,0,0,1,1,0,0,0,0,0,0,5,3,1,43.14285714285715,0,0,0,0,0,0.0,0,0
1,0,5,0.0,6.0,0.0,1,0,2.0,1,7,6,0,5,0,0,1,2,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,3,357.4,0,0,0,0,1,0.2043928371572468,1,1
1,0,0,0.0,10.0,1.0,2,0,2.0,0,5,2,0,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1087.0,1,0,0,0,0,0.0,0,0
1,1,5,0.0,10.0,1.0,0,0,2.0,0,10,6,3,5,0,1,1,3,4,0,3,0,0,1,1,0,1,0,1,0,0,4,2,0,0,23.8,0,0,1,1,1,1.0,0,0
0,1,5,-1.0,9.0,1.0,2,0,2.0,0,10,6,2,5,0,0,0,3,4,1,3,0,0,0,1,1,0,0,0,0,0,0,10,0,1,55.42481203007519,0,0,0,0,2,0.7064796905222437,1,1
1,1,5,1.0,8.0,2.0,1,1,0.0,0,10,2,3,4,2,0,1,3,3,1,1,2,0,0,1,1,0,0,0,0,0,0,6,2,0,101.0,0,0,0,0,0,0.0,0,0
0,1,4,-1.0,10.0,1.0,0,3,2.0,0,10,6,0,5,5,0,0,1,4,0,3,2,0,1,1,0,0,0,0,0,0,0,6,0,0,44.625,0,0,0,0,0,0.0,1,0
1,1,3,0.0,4.0,2.0,2,0,0.0,2,5,6,1,0,4,0,1,3,4,0,0,2,0,0,0,0,0,0,0,0,0,2,3,2,0,12.71428571428571,1,0,1,1,0,0.0,0,0
1,0,6,0.0,2.0,2.0,2,0,0.0,2,10,6,1,5,4,0,0,3,4,0,3,1,0,0,1,0,0,0,1,0,1,4,1,1,2,27.72727272727273,0,1,0,0,1,0.5987704918032787,1,1
1,1,5,0.0,3.0,-1.0,1,2,0.0,2,10,6,3,1,5,0,0,3,4,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,0,0.0,0,1
1,0,3,1.0,6.0,0.0,2,0,2.0,1,10,6,0,5,0,0,0,2,4,0,3,0,0,0,1,1,0,0,1,0,1,3,0,0,1,71.06666666666666,1,0,0,0,0,0.0,0,0
1,0,3,0.0,3.0,2.0,1,3,3.0,2,8,6,2,2,1,0,0,3,4,1,2,1,0,0,1,0,1,0,0,0,0,0,4,1,0,13.16666666666667,0,0,0,0,2,1.0,0,0
0,0,4,-1.0,2.0,2.0,0,1,2.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,1,1.0,0,1
1,1,3,0.0,10.0,1.0,1,1,2.0,3,10,6,1,5,1,0,0,3,4,1,3,0,1,0,1,1,1,0,0,0,0,2,4,3,1,16.28571428571428,1,0,1,0,2,1.0,0,0
1,0,6,0.0,3.0,1.0,1,3,3.0,0,9,4,3,0,0,0,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,136.5,0,0,0,0,1,2.0,0,1
0,1,5,-1.0,2.0,2.0,0,0,2.0,2,10,6,3,5,1,0,0,3,2,0,3,0,0,0,1,0,0,0,0,0,0,0,5,2,2,55.42481203007519,0,0,0,0,0,0.0,0,0
1,1,3,0.0,9.0,1.0,1,3,3.0,2,10,6,2,4,4,0,1,3,4,1,1,2,0,0,1,1,1,0,0,1,0,4,10,3,0,145.5,0,0,0,0,0,0.0,0,0
1,0,5,1.0,5.0,-1.0,1,0,0.0,0,8,6,3,2,2,0,1,3,2,1,1,2,0,0,1,1,1,0,0,0,0,4,0,0,2,56.33333333333334,0,0,0,0,2,2.0,0,0
1,0,4,0.0,4.0,1.0,2,3,3.0,1,5,4,1,1,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,25.77272727272727,0,0,0,0,1,1.288359788359788,0,0
1,1,4,0.0,4.0,2.0,1,2,0.0,2,4,6,0,2,3,0,0,2,4,0,1,2,0,0,1,0,0,0,0,0,0,4,6,0,0,16.86,1,0,1,1,1,0.4332740213523132,0,1
1,1,4,0.0,3.0,1.0,1,1,4.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,97.8,0,0,0,0,2,1.493865030674846,0,1
1,1,3,0.0,4.0,2.0,1,3,1.0,2,6,2,0,2,2,0,1,3,1,0,2,1,0,0,1,0,0,0,0,0,0,0,6,0,3,109.3333333333333,0,0,0,0,1,2.0,0,0
1,0,4,0.0,9.0,1.0,2,0,0.0,1,7,6,1,3,3,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,3,50.31578947368421,0,0,0,0,2,2.292364016736402,0,1
0,1,5,-1.0,7.0,0.0,0,0,2.0,0,10,6,0,5,5,0,1,3,4,0,3,2,0,0,1,1,0,0,1,0,0,4,10,0,3,33.84848484848485,0,0,1,0,1,0.3269919427036705,0,1
1,1,3,0.0,9.0,1.0,0,0,0.0,2,10,6,1,5,4,0,0,3,4,0,3,2,0,0,1,1,1,0,0,1,1,2,0,0,1,55.42481203007519,0,0,0,0,0,0.0,0,0
1,1,0,0.0,8.0,1.0,0,3,1.0,0,6,3,1,1,1,1,0,3,2,1,1,1,0,0,1,1,0,0,1,1,1,4,10,2,3,15.87878787878788,1,0,1,1,1,2.091125954198473,1,0
1,0,6,0.0,5.0,2.0,2,3,0.0,2,10,6,2,5,5,0,0,3,4,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,0,0.0,0,1
1,0,4,0.0,5.0,1.0,1,3,2.0,0,8,6,0,5,1,0,0,3,4,0,3,1,0,0,0,0,1,0,0,0,0,0,10,1,0,36.89655172413793,0,0,0,0,1,0.3413551401869159,0,1
1,0,1,0.0,8.0,0.0,2,3,-1.0,1,4,2,2,0,3,1,0,1,3,1,0,1,0,0,1,1,0,0,1,0,0,4,8,1,3,858.0,1,0,0,0,0,0.0,0,0
1,0,4,0.0,6.0,0.0,1,0,4.0,0,10,6,2,0,2,0,0,3,3,0,0,0,1,0,0,0,1,0,0,1,0,4,10,3,0,57.1875,0,0,0,0,2,0.7983606557377049,0,0
1,0,4,0.0,5.0,2.0,0,0,3.0,1,10,6,3,5,1,1,0,1,4,1,1,0,0,0,0,1,1,0,0,0,0,4,0,0,2,115.7142857142857,1,0,0,0,0,0.0,0,0
1,0,3,0.0,7.0,0.0,1,3,-1.0,0,6,6,0,1,5,0,0,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,6,1,0,532.0,0,0,0,0,1,0.3432800751879699,0,0
1,1,5,0.0,6.0,0.0,2,3,-1.0,0,6,6,0,0,5,0,1,3,4,0,0,2,1,0,1,0,0,0,0,0,0,0,10,1,0,12.21621621621622,0,0,1,0,0,0.0,0,0
1,0,3,0.0,9.0,1.0,2,1,2.0,1,7,5,1,2,5,0,0,2,4,0,1,2,0,0,1,1,0,0,1,0,0,0,10,3,0,78.0,1,0,0,0,1,0.2464574898785425,0,1
0,1,6,-1.0,3.0,-1.0,2,0,2.0,2,10,5,0,5,0,0,0,3,4,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,13.53846153846154,0,0,0,0,0,0.0,0,1
1,0,5,0.0,3.0,2.0,1,2,2.0,2,10,6,2,5,5,0,0,2,4,0,2,1,0,0,1,0,0,0,0,1,0,0,0,3,0,135.6666666666667,0,0,0,0,1,0.8974201474201474,0,1
0,1,5,-1.0,7.0,2.0,1,2,1.0,1,10,6,3,5,1,1,0,2,2,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,1,33.2,0,0,1,1,1,0.5500753012048193,0,1
0,1,6,-1.0,7.0,0.0,1,0,2.0,0,4,3,0,2,1,0,0,3,1,0,2,1,0,0,1,1,0,0,1,0,1,4,9,0,0,159.875,0,1,0,0,1,0.2855746677091478,0,0
1,0,3,1.0,10.0,1.0,0,0,2.0,0,10,6,0,5,4,0,0,3,4,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,22.5,0,0,0,0,0,0.0,0,0
1,0,2,0.0,7.0,0.0,2,3,0.0,0,4,5,0,2,1,1,0,2,4,1,2,0,0,0,1,1,0,0,0,0,0,2,0,0,3,89.77777777777777,0,0,0,0,2,1.808168316831683,0,1
1,0,3,0.0,6.0,2.0,1,2,0.0,2,10,6,1,5,1,0,0,2,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,55.42481203007519,0,0,0,0,0,0.0,1,1
1,0,3,0.0,6.0,0.0,1,3,-1.0,3,10,6,3,3,4,0,0,1,4,0,1,2,0,0,0,0,1,0,1,0,1,4,10,3,3,344.8571428571428,1,0,0,0,1,0.4539146644573322,0,1
0,1,6,-1.0,3.0,2.0,2,0,-1.0,0,7,5,0,4,1,0,0,3,4,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,3,78.28571428571429,0,0,0,0,1,0.9997718978102188,0,0
1,1,4,0.0,6.0,-1.0,1,2,3.0,2,8,6,2,1,4,0,1,2,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,41.0,0,0,0,0,2,1.0,0,1
1,1,3,0.0,8.0,1.0,2,0,1.0,1,10,6,1,5,0,0,1,2,3,0,2,0,0,1,0,0,1,0,1,0,1,4,10,0,1,68.66666666666667,0,0,0,0,1,0.2216322815533981,0,1
1,0,3,0.0,10.0,2.0,2,3,2.0,0,8,1,0,5,1,0,0,3,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,120.6,0,0,0,0,0,0.0,1,1
1,1,4,0.0,7.0,0.0,1,3,2.0,2,10,6,3,5,4,0,1,3,4,1,3,2,0,0,1,0,1,0,0,0,0,0,1,3,0,70.5,1,0,0,0,1,1.0,0,0
1,0,5,0.0,5.0,2.0,1,0,-1.0,3,6,6,3,2,4,1,1,3,4,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,398.0,0,0,0,0,0,0.0,0,0
1,1,5,0.0,10.0,1.0,0,3,-1.0,3,10,6,0,5,1,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,34.1578947368421,0,1,1,0,1,0.562788906009245,0,1
0,1,5,-1.0,9.0,1.0,1,2,2.0,0,10,3,1,5,5,0,0,3,2,0,3,2,0,0,1,1,0,0,0,1,0,2,10,0,0,95.75,0,0,0,0,1,0.9536553524804176,0,0
1,0,3,0.0,9.0,1.0,2,1,2.0,3,8,5,1,2,4,0,0,3,4,0,2,2,1,0,1,0,0,0,0,0,1,3,10,3,0,55.54545454545455,1,0,0,0,1,0.5977905073649754,0,1
1,0,3,0.0,5.0,2.0,1,2,2.0,0,6,4,1,2,2,0,0,1,2,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,33.47368421052632,0,0,0,0,1,0.5742924528301887,0,1
1,0,3,0.0,5.0,2.0,1,0,3.0,0,10,6,3,5,2,1,0,3,4,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,2,32.2,0,0,0,0,1,1.0,0,0
1,0,3,0.0,1.0,2.0,1,1,2.0,1,10,1,3,4,0,0,0,3,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,3,0,471.5,0,1,0,0,0,0.0,0,0
1,1,6,0.0,10.0,2.0,0,3,2.0,0,10,6,2,5,1,0,0,3,2,0,3,0,0,0,1,0,0,0,0,1,0,4,0,0,0,55.42481203007519,0,0,0,0,2,1.0,0,0
1,0,4,0.0,7.0,0.0,1,0,0.0,1,10,2,2,2,5,0,1,2,2,1,1,2,0,0,1,0,0,0,0,0,0,0,4,0,1,69.3,0,0,0,0,1,0.5270562770562771,0,1
0,0,3,-1.0,1.0,-1.0,2,3,2.0,2,10,6,3,5,0,0,0,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,0,0.0,0,0
1,1,5,0.0,6.0,0.0,1,0,0.0,0,9,6,1,3,3,0,0,2,4,0,2,1,0,0,1,1,0,0,0,0,0,0,10,0,0,37.25,0,0,0,0,2,1.634228187919463,0,0
1,1,2,0.0,5.0,2.0,1,0,0.0,2,7,6,1,4,2,0,0,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,132.3333333333333,0,0,0,0,2,0.9200251889168766,0,1
0,0,3,-1.0,7.0,0.0,1,2,3.0,3,10,6,2,5,1,0,0,3,2,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,2,185.5,0,0,0,0,1,0.9845013477088947,0,0
1,0,3,0.0,6.0,0.0,1,1,0.0,0,10,6,2,5,2,1,0,3,4,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,372.75,0,0,0,0,1,0.2449698189134809,0,0
1,0,5,0.0,1.0,0.0,1,3,0.0,0,7,6,3,0,4,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,6,3,0,33.04545454545455,1,0,0,0,1,1.004814305364512,0,1
1,1,3,0.0,9.0,2.0,1,1,2.0,0,8,5,0,5,2,0,0,2,2,0,3,0,0,1,1,1,0,0,0,0,0,0,6,0,1,33.15,0,0,0,0,1,0.5509049773755657,0,1
1,0,4,0.0,5.0,2.0,2,2,0.0,2,10,6,2,1,1,0,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,25.6,0,0,0,0,1,0.951171875,0,0
1,1,3,0.0,4.0,2.0,1,2,1.0,2,6,2,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,10,0,0,34.2,1,0,0,0,1,1.423976608187135,0,0
1,1,2,0.0,6.0,0.0,1,0,2.0,2,10,6,2,4,4,0,1,1,4,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7.857142857142857,0,0,0,0,2,1.0,0,0
1,0,3,0.0,6.0,0.0,2,0,-1.0,0,10,1,2,1,5,0,0,3,0,1,0,2,0,0,1,1,0,0,0,0,0,0,6,0,1,45.85714285714285,1,0,0,0,2,0.5689252336448598,0,0
1,1,5,0.0,10.0,1.0,1,0,2.0,0,10,6,0,5,2,1,0,3,3,0,3,1,0,0,1,1,0,0,0,0,0,0,6,0,2,137.2222222222222,0,0,0,0,1,0.295748987854251,0,0
0,1,2,-1.0,10.0,1.0,2,1,2.0,1,10,6,0,4,2,0,0,2,3,0,3,2,0,1,1,1,0,0,0,0,1,4,10,0,0,30.6,1,1,0,1,1,2.0,0,1
1,1,3,0.0,8.0,0.0,1,0,1.0,0,6,5,0,0,5,0,1,2,3,0,0,2,1,0,1,0,0,0,0,0,0,0,6,0,0,40.25,0,0,0,0,2,3.0,0,0
1,1,6,0.0,6.0,0.0,1,3,2.0,1,10,6,0,5,0,0,0,2,4,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,55.42481203007519,0,0,0,0,0,0.0,0,1
1,1,6,0.0,6.0,1.0,1,1,0.0,3,10,6,2,0,5,0,1,3,4,0,0,2,0,0,1,0,0,0,0,0,0,3,5,0,1,43.57142857142857,0,0,0,0,0,0.0,0,1
0,0,3,-1.0,5.0,2.0,0,0,2.0,2,4,2,0,3,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0,0,0,0,2,0.951171875,0,1
1,1,6,0.0,3.0,2.0,1,2,0.0,2,9,5,1,4,5,0,0,3,3,0,3,2,0,0,1,0,0,0,0,0,0,0,6,0,1,23.73333333333333,0,0,0,0,2,1.0,0,0
1,1,4,0.0,4.0,2.0,2,3,-1.0,2,5,2,3,0,3,1,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,55.42481203007519,0,0,0,0,0,0.0,0,0
1,0,3,0.0,8.0,0.0,1,2,3.0,1,7,6,2,3,0,0,0,1,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,164.2,1,0,0,0,1,0.444884287454324,0,1
0,0,5,-1.0,6.0,0.0,2,3,2.0,2,10,6,2,5,2,0,0,3,2,1,3,2,0,1,1,0,1,0,0,0,0,0,0,0,1,23.0,0,1,0,0,1,1.0,1,0
1,1,5,0.0,2.0,2.0,1,3,2.0,2,10,6,1,5,1,0,0,3,4,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,95.33333333333331,0,0,0,0,2,1.0,0,0
0,1,4,-1.0,8.0,2.0,2,0,0.0,2,10,6,2,4,3,0,0,3,4,0,3,2,0,0,1,0,0,0,0,0,0,2,4,2,1,24.73333333333333,0,0,0,0,0,0.0,0,1
1,0,6,0.0,4.0,2.0,1,3,-1.0,0,3,1,0,0,4,0,0,2,1,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,117.0,0,0,0,0,0,0.0,0,1
0,1,5,-1.0,10.0,1.0,2,1,2.0,1,10,6,1,5,2,0,0,3,4,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,142.4285714285714,0,0,1,0,1,0.3663490471414243,1,0
1,0,6,0.0,4.0,2.0,2,0,3.0,3,10,6,3,5,3,0,0,3,4,1,3,1,0,1,0,1,1,0,0,0,0,0,0,0,1,66.8,0,0,0,0,1,1.0,0,0
1,1,3,0.0,6.0,0.0,1,1,-1.0,0,10,6,2,1,5,0,0,3,4,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,64.2,0,0,1,0,1,0.3792834890965732,0,0
1,0,4,0.0,10.0,1.0,0,0,2.0,0,10,1,0,5,0,0,0,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,0,0.0,0,0
1,1,3,1.0,10.0,1.0,2,3,2.0,0,10,6,1,5,2,0,0,3,4,0,3,2,0,0,1,1,0,0,0,0,0,4,2,3,3,36.75,1,0,1,0,0,0.0,0,0
1,0,5,0.0,3.0,-1.0,1,1,0.0,1,10,6,0,1,5,0,0,3,4,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,115.375,0,0,0,0,1,0.7914409534127844,0,1
1,1,4,1.0,8.0,0.0,2,0,2.0,2,10,5,3,5,0,0,0,3,2,1,3,0,0,1,1,1,0,0,1,1,1,4,0,0,2,55.42481203007519,0,0,0,0,0,0.0,0,0
1,1,6,0.0,8.0,-1.0,2,3,-1.0,2,10,6,3,5,1,1,0,3,4,0,3,0,0,0,1,0,0,0,0,0,0,0,10,0,2,19.66666666666667,0,0,0,0,2,2.0,0,1
1,0,6,0.0,4.0,1.0,1,3,2.0,1,10,6,3,5,2,1,1,3,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,2,121.75,0,0,0,0,1,0.375,1,0
1,1,6,0.0,2.0,2.0,2,3,0.0,0,4,6,2,0,2,0,1,3,4,1,0,2,1,0,1,1,0,0,0,0,0,0,4,0,1,50.73333333333333,0,0,1,0,1,0.2399802890932983,0,0
1,0,6,0.0,1.0,2.0,2,0,0.0,2,9,6,3,3,3,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,1,0.7804487179487181,1,1
1,1,6,0.0,3.0,2.0,1,1,0.0,2,10,3,2,2,3,1,0,3,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,10.1,0,0,0,0,1,2.0,0,0
1,0,4,0.0,6.0,-1.0,0,3,3.0,1,9,6,2,5,1,1,1,3,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,14.375,0,0,0,0,1,1.0,0,1
1,0,3,0.0,5.0,-1.0,1,3,-1.0,0,5,6,0,2,4,0,0,2,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,1,0.6243589743589744,0,1
1,0,2,0.0,9.0,1.0,2,3,3.0,1,10,6,3,4,3,1,1,1,4,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,1,74.83333333333333,0,0,0,0,1,1.626948775055679,0,0
1,1,3,0.0,10.0,1.0,1,0,1.0,1,10,5,1,5,2,0,1,1,3,1,3,2,1,0,1,1,0,0,1,0,0,0,0,0,3,55.57894736842105,0,0,1,0,2,1.383522727272727,1,0
